Gene1	Gene2	Score
YDR096W	YDR277C	0.122119
YHL047C	YLR214W	0.122104
YML024W	YLR185W	0.122002
YBR162C	YCR088W	0.121971
YNL301C	YMR272W-B	0.121941
YMR046C	YGR115C	0.121853
YGL208W	YBR126C	0.121796
YHL047C	YOR383C	0.121734
YBL043W	YJL025W	0.121566
YIL150C	YPL066W	0.121433
YNL117W	YOL163W	0.121372
YKL001C	YIL074C	0.121285
YLR379W	YML017W	0.121237
YNL319W	YLR285C-A	0.121221
YLR420W	YOL126C	0.121144
YDR482C	YMR194C-A	0.120988
YPR020W	YPR010C-A	0.120676
YJL048C	YAL061W	0.120668
YGR027W-B	YLR227W-B	0.120643
YPL058C	YOR100C	0.120558
YDR228C	YFL053W	0.120467
YER089C	YCL017C	0.120249
YDR096W	YGR289C	0.120232
YGR028W	YMR035W	0.120171
YPL132W	YMR307W	0.120033
YDR324C	YOL080C	0.120001
YCR005C	YGR286C	0.119966
YER070W	YCL036W	0.11993
YML058W-A	YJR047C	0.119888
YDR343C	tF(GAA)P2	0.119858
YOR102W	YDR271C	0.119741
YIL079C	YPL280W	0.119723
YDR055W	YJL159W	0.1196
YFR045W	YIL102C	0.119524
YIR032C	YLR437C-A	0.119389
YDR396W	YNL150W	0.119302
YCL017C	YER089C	0.118685
YCL027W	YNR044W	0.118661
YDR018C	YEL070W	0.118613
YDR034C-D	YBL100W-B	0.118612
YOL017W	YLR073C	0.118494
YMR305C	YBR292C	0.118475
YOL147C	YFR055W	0.118453
YHR216W	YLR458W	0.118376
YKL001C	YPR167C	0.118358
YKR019C	YDR213W	0.118357
YDL185C-A	YOR300W	0.118349
YDL039C	YAR066W	0.1183
YBL042C	YGL230C	0.118297
YOR095C	YNL112W	0.118176
YOL158C	YLR136C	0.118161
YPL200W	tD(GUC)G1	0.117822
YOR223W	YML129C	0.11774
YML043C	YOR359W	0.117615
YFR052C-A	YPL004C	0.117561
YMR292W	YLR202C	0.117342
YDL127W	YNL289W	0.117199
YLR285C-A	YNL319W	0.117152
YKL151C	YPR145C-A	0.117111
YNL174W	YGR160W	0.116989
YLR340W	YBR031W	0.116831
YFR017C	YNR014W	0.116778
YNR060W	YOR381W	0.116703
YOR101W	YLR019W	0.116667
YBR089W	YJL195C	0.116565
YOR314W	YDL181W	0.116552
YKL106W	YNL036W	0.116518
YLL044W	YPL250W-A	0.116515
YOL152W	YOR351C	0.116285
YDR074W	YBR132C	0.116207
YOR037W	YNL147W	0.116184
YDL048C	YOR344C	0.116165
YJL001W	YHR191C	0.116149
YOR049C	YPL156C	0.115992
YOR146W	YPR099C	0.115954
YKL125W	YIR027C	0.115944
YGL010W	YGL256W	0.115799
YMR093W	YKR024C	0.11547
YKR091W	YIL117C	0.115279
YPR021C	YLR265C	0.115252
YNL208W	YDR476C	0.115196
YMR034C	YMR085W	0.11513
YPR002W	YDL241W	0.115098
YMR082C	YGL260W	0.115075
YJL102W	YER001W	0.115057
YAR009C	YLL046C	0.115013
YGL201C	YGR054W	0.114985
YLR171W	YKL138C-A	0.114976
YMR241W	YHR214C-E	0.114956
YLR460C	tA(UGC)L	0.114923
YHR096C	tP(UGG)M	0.114883
YML119W	YLR302C	0.114795
YKL096W	YBR040W	0.11479
YPL146C	YPL250W-A	0.114686
YDR119W-A	YDR365W-B	0.114643
YOR298W	YHR130C	0.114475
YMR306W	YGL263W	0.1144
YNL134C	YOL151W	0.114367
YKL086W	NME1	0.114233
YNL070W	YDL045W-A	0.1142
snR37	snR64	0.114147
YBR158W	YLL062C	0.114106
YKR093W	YIL170W	0.11408
YDR111C	YGL255W	0.114037
YOR389W	YFR032C-B	0.114027
YBR021W	YJL025W	0.113972
YOR248W	YFL031W	0.113932
YDR136C	YGR291C	0.113874
YOR208W	YHR030C	0.113629
YHR092C	YCL065W	0.113503
YKR039W	YLR437C-A	0.113488
YDL045C	YOR220W	0.11345
YHR062C	YCR059C	0.113422
YJL159W	YGR279C	0.113421
YKR047W	YMR304C-A	0.113278
YNR066C	YBR023C	0.113265
YNR012W	YNL029C	0.113259
YHL028W	YNL160W	0.11322
YNL220W	YLR180W	0.113138
YJL194W	YNL065W	0.113106
YGL257C	YJL056C	0.113069
YLR367W	YMR052C-A	0.113031
YMR033W	YKL042W	0.113012
YMR314W	YIR022W	0.113005
YHR001W-A	YPR010C-A	0.112928
YGL072C	YJL015C	0.11292
YPR080W	YBR118W	0.112905
YHR032W	YCR063W	0.112903
YHL028W	YDL227C	0.11275
YPR016W-A	YBR224W	0.112738
YOL155C	YIL169C	0.11272
YMR316W	YMR316C-A	0.112717
YKR106W	YGL187C	0.112709
YBR258C	tG(CCC)O	0.11262
YGL039W	YGR037C	0.11246
YER187W	YDR094W	0.112386
YLR437C-A	YIR032C	0.112346
YHR190W	YBL106C	0.112266
YBR012C	YDR509W	0.112157
YER181C	YNR077C	0.112133
YKL107W	YPR059C	0.112053
YDR086C	YMR235C	0.112031
YBR230W-A	YNL135C	0.111982
YKL185W	YER001W	0.111973
YKL151C	YKR049C	0.111876
YER181C	YIL171W-A	0.111735
YKL142W	YDR435C	0.111606
YJL159W	YDR055W	0.11159
YDR214W	YER088C-A	0.111469
YML063W	YKL081W	0.11142
YGR019W	YMR090W	0.111391
YHL026C	YBR093C	0.111231
YPR141C	YKL089W	0.111143
YJL074C	YLR183C	0.111112
YJR145C	YNL302C	0.111109
YOL038C-A	YGL010W	0.111
YCL009C	YFL010C	0.110944
YJL190C	YGL147C	0.11093
YOR106W	YJL196C	0.110624
YKL068W-A	YPL187W	0.110607
YDR264C	tS(UGA)E	0.110481
YKL185W	YNL169C	0.110388
YPL072W	YMR144W	0.110224
YJL194W	tT(AGU)O2	0.110199
YFR018C	YML058W-A	0.110113
snR37	tI(AAU)I2	0.110112
YHR039C-A	YDR098C	0.110086
YLR233C	YDR538W	0.110032
snR161	tH(GUG)G2	0.109996
YMR324C	YDR406W-A	0.109936
YLR103C	YPR120C	0.109797
YJL030W	YDR503C	0.109714
YMR300C	YLR058C	0.109491
YOL106W	YBR226C	0.109383
YMR001C-A	YLR062C	0.109381
YLR001C	YGR212W	0.10935
YER019C-A	YJL067W	0.109342
YDR074W	YDR516C	0.109321
YCL033C	YJR112W-A	0.109295
YNR014W	YFR017C	0.109279
YGL258W	YKL120W	0.109063
YBR233W	YDR303C	0.108957
YPL048W	YJL121C	0.108841
YLR092W	YPR167C	0.108607
YDL229W	YGL245W	0.108548
YPR027C	YKR091W	0.108539
YMR045C	YBL005W-B	0.108478
YGR176W	YGR177C	0.108345
tD(GUC)N	YOL101C	0.108248
YDR196C	YDR230W	0.108172
YKL014C	YMR229C	0.108153
YKL161C	YHR184W	0.108117
YNL260C	YDR075W	0.107981
YKL138C-A	YEL034C-A	0.107975
YNL065W	YPR136C	0.107903
YER158W-A	YNL198C	0.107858
YLR134W	YOR375C	0.107767
YLR023C	YOL105C	0.107621
tN(GUU)K	tN(GUU)O2	0.107609
