Protein1	Protein2	Score
YIL133C	YLR354C	0.076832
YER052C	YIL051C	0.076829
YGL039W	YNR050C	0.076727
YFL045C	YER165W	0.076548
YNL055C	YDR341C	0.076522
YER009W	YOL109W	0.076520
YGR240C	YBR011C	0.076347
YCR012W	YBR263W	0.076305
YPR069C	YBL039C	0.076235
YGL253W	YER091C	0.075803
YPL111W	YOR184W	0.075780
YDR453C	YFR044C	0.075724
YDL229W	YER043C	0.075619
YFL039C	YJL172W	0.075542
YBL041W	YOR042W	0.075372
YBL030C	YGL187C	0.075305
YKL056C	YJL052W	0.075186
YER177W	YDR155C	0.075130
YKL006W	YBL039C	0.075129
YCR004C	YCL011C	0.075054
YDL014W	YGL115W	0.075024
YML056C	YBR106W	0.074862
YLR208W	YCL040W	0.074829
YBR196C	YOR224C	0.074793
YML056C	YDL143W	0.074701
YJL034W	YKL181W	0.074657
YLL050C	YPL218W	0.074555
YKL181W	YNL209W	0.074435
YOR335C	YJL080C	0.074375
YNL037C	YIL116W	0.074326
YLR075W	YPL131W	0.074260
YGR148C	YOR317W	0.074228
YDR127W	YNL241C	0.073894
YGR282C	YMR039C	0.073654
YHR183W	YNL131W	0.073612
YKL182W	YML008C	0.073578
YOR224C	YMR260C	0.073563
YLR300W	YCL011C	0.073544
YDL143W	YLR167W	0.073471
YMR226C	YDL022W	0.073440
YJR014W	YNL067W	0.073430
YMR203W	YLR406C	0.073393
YLR175W	YGL137W	0.073142
YKL085W	YBL030C	0.073082
YHR064C	YOR310C	0.073041
YBL099W	YJR121W	0.073030
YBL092W	YDR023W	0.073027
YJR016C	YMR062C	0.073006
YIL033C	YNL098C	0.072941
YGR279C	YDR510W	0.072830
YLR448W	YGL009C	0.072755
YBL064C	YLL026W	0.072626
YBL099W	YBL030C	0.072376
YHL021C	YLR448W	0.072277
YGL137W	YNL112W	0.072244
YOR063W	YGR148C	0.072230
YNL178W	YLR185W	0.072005
YJR070C	YPR028W	0.071963
YPL160W	YGR124W	0.071946
YER043C	YKR001C	0.071930
YJR073C	YGR234W	0.071827
YPR035W	YLR153C	0.071750
YDR238C	YGL103W	0.071728
YDR368W	YMR314W	0.071711
YGR204W	YBL076C	0.071449
YDR099W	YDR155C	0.071375
YPL119C	YGL103W	0.071353
YPL237W	YER156C	0.071345
YLR304C	YFR053C	0.071204
YFL045C	YAL038W	0.071172
YAR007C	YPL218W	0.071168
YCL030C	YMR062C	0.071094
YHR029C	YDL182W	0.071091
YNL016W	YML086C	0.071015
YAR015W	YPR183W	0.070989
YDR385W	YCR012W	0.070875
YGR253C	YKL009W	0.070676
YGR034W	YGL187C	0.070635
YKR042W	YKL077W	0.070602
YDR086C	YHL001W	0.070588
YMR062C	YHR029C	0.070495
YER069W	YHR018C	0.070466
YKL006W	YPR036W	0.070446
YJR016C	YNL104C	0.070323
YOR136W	YCL009C	0.070285
YDL185W	YOR298C-A	0.070264
YML056C	YLL024C	0.070256
YDR172W	YGL245W	0.070178
YGR209C	YJL001W	0.070150
YPR028W	YPR036W	0.070128
YNL112W	YNL209W	0.070083
YEL037C	YGR159C	0.070057
YOR224C	YPL106C	0.070007
YGR285C	YHR089C	0.069998
YHR018C	YCR053W	0.069952
YBR221C	YNL220W	0.069940
YGR285C	YJR064W	0.069805
YEL037C	YPL249C-A	0.069768
YKL120W	YNL241C	0.069714
YNL112W	YJL014W	0.069652
YBL076C	YGL234W	0.069634
YLR300W	YBR177C	0.069613
YNL104C	YPL117C	0.069550
YCR053W	YLL018C	0.069544
YLR196W	YAR007C	0.069533
YNL220W	YLR058C	0.069515
YER025W	YHR027C	0.069022
YFL037W	YEL002C	0.069006
YPL119C	YDR368W	0.068914
YNR001C	YNL096C	0.068912
YBR121C	YBL041W	0.068833
YPL117C	YNL007C	0.068823
YHR163W	YGR034W	0.068780
YGR094W	YMR120C	0.068693
YNR050C	YPR183W	0.068680
